New_Commits,New_Issue,ComS,OrgS,SupS,TypS,ID,Pno
6,1,0.177419355,0,0.790322581,0.032258065,4,10
63,6,0.117948718,0.020512821,0.682051282,0.179487179,5,10
68,3,0.122340426,0.010638298,0.611702128,0.255319149,6,10
32,4,0.161290323,0.021505376,0.623655914,0.193548387,7,10
31,2,0.133333333,0.026666667,0.66,0.18,8,10
68,7,0.092896175,0.010928962,0.617486339,0.278688525,9,10
84,6,0.162162162,0.009009009,0.68018018,0.148648649,10,10
19,4,0.255681818,0,0.659090909,0.085227273,11,10
20,3,0.263513514,0,0.668918919,0.067567568,12,10
15,5,0.265151515,0.007575758,0.659090909,0.068181818,13,10
68,5,0.212938005,0.008086253,0.614555256,0.164420485,14,10
57,13,0.256140351,0.00877193,0.666666667,0.068421053,15,10
53,8,0.268181818,0.004545455,0.656818182,0.070454545,16,10
63,8,0.319474836,0.004376368,0.588621444,0.087527352,17,10
100,6,0.147163121,0.007092199,0.725177305,0.120567376,18,10
88,4,0.118811881,0.00660066,0.735973597,0.138613861,19,10
116,19,0.14251497,0.004790419,0.750898204,0.101796407,20,10
188,45,0.127693536,0.032721468,0.737430168,0.102154828,21,10
82,20,0.167539267,0.001308901,0.793193717,0.037958115,22,10
68,23,0.183254344,0.009478673,0.748815166,0.058451817,23,10
95,28,0.177232447,0.025221541,0.750511247,0.047034765,24,10
133,19,0.184029944,0.023081722,0.737367436,0.055520898,25,10
134,23,0.170588235,0.011764706,0.771323529,0.046323529,26,10
102,17,0.200900901,0.009009009,0.746846847,0.043243243,27,10
94,25,0.152317881,0.032166509,0.75307474,0.06244087,28,10
126,29,0.14624183,0.012254902,0.785947712,0.055555556,29,10
106,48,0.157094595,0.02027027,0.777871622,0.044763514,30,10
105,26,0.124485597,0.022633745,0.78600823,0.066872428,31,10
110,30,0.165605096,0.019904459,0.779458599,0.035031847,32,10
67,23,0.179791976,0.008915305,0.771173848,0.040118871,33,10
109,37,0.168389956,0.026587888,0.750369276,0.05465288,34,10
71,32,0.196721311,0.045323047,0.711668274,0.046287367,35,10
81,30,0.183304647,0.033562823,0.731497418,0.051635112,36,10
33,1,0,0.025,0.225,0.75,1,11
139,5,0.015306122,0.015306122,0.275510204,0.693877551,2,11
73,1,0.058823529,0.009803922,0.235294118,0.696078431,3,11
72,3,0.048543689,0.029126214,0.242718447,0.67961165,4,11
57,1,0.012345679,0,0.320987654,0.666666667,5,11
42,1,0.103448276,0,0.459770115,0.436781609,6,11
48,1,0.082352941,0,0.352941176,0.564705882,7,11
141,3,0.023668639,0,0.307692308,0.668639053,8,11
39,2,0.119402985,0.014925373,0.388059701,0.47761194,9,11
25,1,0.098360656,0.032786885,0.442622951,0.426229508,10,11
26,1,0.224489796,0.040816327,0.306122449,0.428571429,11,11
69,0,0.064814815,0.013888889,0.601851852,0.319444444,12,11
94,2,0.079207921,0.079207921,0.381188119,0.46039604,13,11
172,4,0.027586207,0.044827586,0.34137931,0.586206897,14,11
50,4,0.090909091,0.011363636,0.375,0.522727273,15,11
39,6,0.056818182,0.056818182,0.465909091,0.420454545,16,11
64,3,0.054054054,0.009009009,0.522522523,0.414414414,17,11
101,6,0.051020408,0.040816327,0.413265306,0.494897959,18,11
67,11,0.087412587,0.041958042,0.63986014,0.230769231,19,11
92,4,0.015625,0.0625,0.4375,0.484375,20,11
35,2,0.107142857,0.047619048,0.428571429,0.416666667,21,11
126,4,0.058252427,0.024271845,0.32038835,0.597087379,22,11
150,7,0.094081942,0.051593323,0.62215478,0.232169954,23,11
126,15,0.078947368,0.070175439,0.49122807,0.359649123,24,11
143,20,0.118997912,0.070981211,0.509394572,0.300626305,25,11
137,10,0.104859335,0.071611253,0.470588235,0.352941176,26,11
143,15,0.097826087,0.036231884,0.384057971,0.481884058,27,11
74,21,0.112359551,0.050561798,0.43258427,0.404494382,28,11
61,9,0.206896552,0.034482759,0.487684729,0.270935961,29,11
49,11,0.109649123,0.122807018,0.552631579,0.214912281,30,11
36,5,0.130434783,0.07826087,0.486956522,0.304347826,31,11
40,16,0.146226415,0.113207547,0.58490566,0.155660377,32,11
52,9,0.046641791,0.041044776,0.815298507,0.097014925,33,11
40,27,0.063829787,0.072340426,0.69787234,0.165957447,34,11
21,8,0.130718954,0.065359477,0.660130719,0.14379085,35,11
14,10,0.14957265,0.098290598,0.688034188,0.064102564,36,11
8,0,0.078431373,0.039215686,0.705882353,0.176470588,1,13
2,1,0.333333333,0,0.333333333,0.333333333,2,13
11,2,0.130434783,0.043478261,0.608695652,0.217391304,3,13
3,0,0.181818182,0,0.636363636,0.181818182,4,13
1,0,0.333333333,0,0.666666667,0,5,13
6,0,0.166666667,0,0.733333333,0.1,6,13
0,0,0.4,0.1,0.5,0,7,13
2,1,0.125,0.013888889,0.847222222,0.013888889,8,13
68,7,0.133663366,0.00990099,0.54950495,0.306930693,9,13
41,10,0.095890411,0,0.794520548,0.109589041,10,13
9,3,0.183673469,0.020408163,0.714285714,0.081632653,11,13
80,7,0.141078838,0.012448133,0.651452282,0.195020747,12,13
44,6,0.138297872,0,0.712765957,0.14893617,13,13
41,7,0.140350877,0,0.649122807,0.210526316,14,13
9,2,0.322580645,0,0.64516129,0.032258065,15,13
105,4,0.133144476,0,0.682719547,0.184135977,16,13
59,7,0.136986301,0,0.666666667,0.196347032,17,13
40,0,0.117021277,0,0.627659574,0.255319149,18,13
20,2,0.166666667,0,0.677083333,0.15625,19,13
36,4,0.112903226,0,0.661290323,0.225806452,20,13
11,4,0.174603175,0,0.714285714,0.111111111,21,13
26,5,0.170940171,0,0.666666667,0.162393162,22,13
9,2,0.352941176,0,0.470588235,0.176470588,23,13
28,6,0.117647059,0,0.714285714,0.168067227,24,13
4,3,0.108433735,0,0.855421687,0.036144578,25,13
14,3,0.216666667,0.033333333,0.6,0.15,26,13
2,11,0.325581395,0,0.651162791,0.023255814,27,13
2,7,0.416666667,0,0.416666667,0.166666667,28,13
0,3,0.5,0,0.5,0,29,13
0,4,0.4,0.3,0.3,0,30,13
13,6,0.055979644,0.012722646,0.923664122,0.007633588,31,13
3,5,0.321428571,0.035714286,0.571428571,0.071428571,32,13
2,4,0.5,0,0.5,0,33,13
3,1,0.25,0,0.666666667,0.083333333,34,13
18,3,0.039772727,0.005681818,0.903409091,0.051136364,35,13
8,4,0.135135135,0.027027027,0.621621622,0.216216216,36,13
199,7,0.135478408,0.00254022,0.718882303,0.143099069,1,15
248,14,0.184756098,0.001829268,0.700609756,0.112804878,2,15
353,22,0.166666667,0.003623188,0.67089372,0.158816425,3,15
188,18,0.136738906,0.00619195,0.783281734,0.07378741,4,15
152,7,0.144866385,0.00281294,0.760900141,0.091420534,5,15
252,18,0.162768031,0.001949318,0.7417154,0.093567251,6,15
256,19,0.14497307,0.004039497,0.767504488,0.083482944,7,15
179,15,0.135063207,0.00332668,0.771789754,0.089820359,8,15
227,21,0.111708483,0.010752688,0.766427718,0.111111111,9,15
285,36,0.141609719,0.00531511,0.766894457,0.086180714,10,15
168,17,0.177464789,0.005070423,0.747605634,0.069859155,11,15
153,10,0.180927498,0.005225343,0.736120183,0.077726976,12,15
107,13,0.221288515,0.00140056,0.719187675,0.058123249,13,15
131,18,0.174937965,0.008684864,0.763027295,0.053349876,14,15
180,30,0.174757282,0.009708738,0.743484926,0.072049055,15,15
201,30,0.203629032,0.00766129,0.723387097,0.065322581,16,15
184,27,0.181117534,0.013487476,0.753371869,0.052023121,17,15
109,26,0.152580404,0.011219147,0.802169035,0.034031414,18,15
92,31,0.155244029,0.030633437,0.77933541,0.034787124,19,15
118,31,0.118221788,0.035661944,0.802149487,0.043966781,20,15
105,20,0.162264151,0.029110512,0.765498652,0.043126685,21,15
188,31,0.09818689,0.031799163,0.833193863,0.036820084,22,15
259,27,0.100986193,0.059960552,0.746745562,0.092307692,23,15
175,25,0.12555768,0.082855322,0.682600382,0.108986616,24,15
245,31,0.13562837,0.056822895,0.726254666,0.081294069,25,15
158,25,0.124475524,0.093006993,0.688811189,0.093706294,26,15
150,26,0.174984596,0.075785582,0.663585952,0.085643869,27,15
147,34,0.179317371,0.075904228,0.691288844,0.053489557,28,15
98,34,0.161121983,0.095890411,0.689497717,0.053489889,29,15
102,24,0.112340897,0.091311566,0.750415053,0.045932485,30,15
94,44,0.189235127,0.07082153,0.690084986,0.049858357,31,15
116,35,0.20106383,0.096808511,0.645744681,0.056382979,32,15
131,34,0.163181632,0.093480935,0.70602706,0.037310373,33,15
195,58,0.122247318,0.067476002,0.766516093,0.043760587,34,15
189,48,0.158009603,0.056307289,0.725447403,0.060235705,35,15
70,38,0.182600382,0.069789675,0.692160612,0.055449331,36,15
97,43,0.177068215,0.137880987,0.631349782,0.053701016,1,20
